country,year,avg_temp_c
Indonesia,2020,25.66456
Indonesia,2021,25.480263
Indonesia,2022,25.425377
Indonesia,2023,25.733643
Malaysia,2020,26.026176
Malaysia,2021,25.730286
Malaysia,2022,25.644539
Malaysia,2023,26.09239
Chile,2020,9.09928
Chile,2021,9.134979
Chile,2022,8.470073
Chile,2023,9.0911875
Bolivia,2020,21.020348
Bolivia,2021,20.409294
Bolivia,2022,20.350374
Bolivia,2023,21.421457
Peru,2020,19.300682
Peru,2021,18.945265
Peru,2022,18.823883
Peru,2023,19.607824
Argentina,2020,14.929309
Argentina,2021,14.960982
Argentina,2022,14.452355
Argentina,2023,15.278058
Dhekelia Sovereign Base Area,2020,21.518066
Dhekelia Sovereign Base Area,2021,21.671019
Dhekelia Sovereign Base Area,2022,21.131777
Dhekelia Sovereign Base Area,2023,21.601624
Cyprus,2020,19.728743
Cyprus,2021,19.99089
Cyprus,2022,19.352465
Cyprus,2023,19.86243
India,2020,23.722345
India,2021,23.833145
India,2022,24.009674
India,2023,24.006094
China,2020,7.2139153
China,2021,7.4111514
China,2022,7.383426
China,2023,7.5695252
Israel,2020,20.756697
Israel,2021,21.041204
Israel,2022,20.340715
Israel,2023,21.13167
Palestine,2020,21.119436
Palestine,2021,21.430162
Palestine,2022,20.743773
Palestine,2023,21.501999
Lebanon,2020,16.58291
Lebanon,2021,16.721354
Lebanon,2022,16.009253
Lebanon,2023,16.754065
Ethiopia,2020,23.75791
Ethiopia,2021,23.74177
Ethiopia,2022,23.95378
Ethiopia,2023,24.018896
South Sudan,2020,28.04994
South Sudan,2021,28.625444
South Sudan,2022,28.3489
South Sudan,2023,29.23078
Somalia,2020,27.776789
Somalia,2021,27.46284
Somalia,2022,27.491922
Somalia,2023,27.603754
Kenya,2020,25.471182
Kenya,2021,25.809227
Kenya,2022,25.682985
Kenya,2023,25.631014
Malawi,2020,22.546465
Malawi,2021,22.342155
Malawi,2022,22.030388
Malawi,2023,22.782637
United Republic of Tanzania,2020,22.936066
United Republic of Tanzania,2021,22.98424
United Republic of Tanzania,2022,22.918968
United Republic of Tanzania,2023,23.340622
Syria,2020,20.091417
Syria,2021,20.378693
Syria,2022,19.828043
Syria,2023,20.193916
Somaliland,2020,25.116236
Somaliland,2021,24.803354
Somaliland,2022,25.146307
Somaliland,2023,25.316048
France,2020,13.970917
France,2021,12.781932
France,2022,14.2490225
France,2023,14.13071
Suriname,2020,26.2338
Suriname,2021,25.761683
Suriname,2022,25.610693
Suriname,2023,26.640562
